Date;ME_Power;ME_RPM
15/01/2021;9625;87
04/03/2016;9614;87
29/12/2020;9600;87
18/12/2019;9584;87
11/12/2019;9556;87
10/08/2017;9533;87
20/12/2019;9523;87
23/10/2016;9520;87
01/04/2017;9482;87
25/12/2020;9440;87
19/06/2017;9432;87
20/08/2017;9432;87
09/11/2018;9432;87
19/07/2016;9417;87
22/10/2016;9333;87
21/08/2017;9330;87
24/12/2020;9292;87
27/12/2020;9280;87
28/12/2020;9250;87
29/05/2017;9249;87
19/10/2016;9240;87
27/10/2016;9240;87
20/10/2016;9209;87
23/08/2017;9127;87
27/04/2018;9127;87
28/01/2017;9087;87
30/05/2017;9026;87
18/10/2016;8916;87
31/05/2017;8823;87
14/02/2016;8547;87
07/07/2019;13736;86
20/11/2019;12512;86
05/05/2019;11409;86
14/04/2018;11257;86
21/07/2019;11054;86
23/07/2019;10851;86
28/05/2018;10764;86
13/04/2018;10649;86
28/12/2019;10563;86
16/02/2020;10562;86
20/07/2019;10547;86
28/02/2019;10540;86
08/01/2020;10438;86
30/01/2021;10435;86
02/04/2017;10405;86
01/02/2021;10361;86
13/03/2019;10300;86
16/03/2019;10300;86
24/04/2020;10292;86
06/07/2019;10243;86
29/04/2020;10208;86
27/01/2021;10208;86
14/03/2019;10200;86
10/08/2018;10171;86
01/09/2019;10150;86
15/08/2017;10142;86
14/02/2018;10142;86
05/04/2018;10142;86
07/04/2018;10142;86
26/12/2018;10142;86
08/07/2019;10142;86
11/11/2020;10125;86
04/11/2020;10087;86
08/11/2020;10087;86
24/11/2020;10084;86
04/08/2020;10083;86
05/11/2020;10083;86
23/04/2020;10080;86
26/04/2020;10080;86
28/04/2020;10080;86
11/03/2019;10050;86
05/02/2021;10043;86
07/11/2020;10042;86
02/03/2019;10039;86
16/01/2021;10010;86
03/08/2020;10000;86
06/11/2020;10000;86
12/11/2020;10000;86
28/01/2021;10000;86
29/01/2021;10000;86
11/06/2017;9989;86
17/12/2019;9979;86
23/01/2017;9958;86
20/11/2020;9958;86
08/02/2021;9958;86
06/08/2020;9957;86
22/11/2018;9939;86
22/11/2020;9917;86
23/11/2020;9913;86
28/07/2018;9899;86
29/07/2018;9899;86
30/07/2018;9899;86
03/05/2020;9875;86
04/10/2020;9875;86
16/11/2020;9875;86
18/11/2020;9875;86
05/08/2020;9870;86
07/02/2021;9870;86
04/05/2020;9840;86
05/10/2020;9840;86
19/08/2017;9837;86
24/07/2019;9837;86
02/08/2020;9833;86
17/11/2020;9826;86
19/11/2020;9826;86
21/11/2020;9826;86
20/01/2020;9808;86
21/01/2020;9808;86
20/09/2018;9800;86
28/09/2020;9800;86
03/10/2020;9800;86
07/08/2020;9792;86
22/03/2020;9778;86
20/04/2020;9760;86
19/04/2020;9750;86
21/04/2020;9750;86
22/04/2020;9750;86
27/04/2020;9750;86
13/09/2020;9750;86
27/09/2020;9750;86
09/02/2021;9739;86
14/06/2017;9736;86
19/11/2019;9736;86
18/04/2020;9720;86
28/02/2020;9708;86
06/10/2020;9708;86
12/02/2021;9708;86
05/08/2018;9699;86
06/08/2018;9699;86
07/08/2018;9699;86
11/02/2021;9696;86
13/04/2020;9667;86
17/04/2020;9667;86
14/11/2020;9667;86
30/04/2017;9634;86
02/12/2018;9634;86
29/06/2019;9634;86
04/07/2019;9634;86
15/09/2020;9625;86
